[2025-09-12 14:53:10,763: INFO :main:Initiate the data ingestion]
[2025-09-12 14:56:32,063: INFO :main:Initiate the data ingestion]
[2025-09-12 15:02:18,616: INFO :main:Initiate the data ingestion]
[2025-09-12 15:04:41,330: INFO :main:Initiate the data ingestion]
[2025-09-12 15:07:17,593: INFO :main:Initiate the data ingestion]
[2025-09-16 05:54:51,114: INFO :main:Initiate the data ingestion]
[2025-09-16 06:20:50,097: INFO :main:Initiate the data ingestion]
[2025-09-16 06:21:00,870: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-16 06:21:00,870: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-16 06:21:00,870: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-16 06:21:01,121: INFO :data_ingestion:Exported train and test file path.]
[2025-09-16 06:21:01,121: INFO :main:Data Initiation Completed]
[2025-09-19 00:28:37,901: INFO :main:Initiate the data ingestion]
[2025-09-19 00:30:16,814: INFO :main:Initiate the data ingestion]
[2025-09-19 00:35:36,313: INFO :main:Initiate the data ingestion]
[2025-09-19 00:36:11,555: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-19 00:36:11,555: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-19 00:36:11,555: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-19 00:36:11,744: INFO :data_ingestion:Exported train and test file path.]
[2025-09-19 00:36:11,760: INFO :main:Data Initiation Completed]
[2025-09-19 00:42:14,799: INFO :main:Initiate the data ingestion]
[2025-09-19 00:42:43,789: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-19 00:42:43,789: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-19 00:42:43,789: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-19 00:42:43,912: INFO :data_ingestion:Exported train and test file path.]
[2025-09-19 00:42:43,912: INFO :main:Data Initiation Completed]
[2025-09-19 00:46:41,844: INFO :main:Initiate the data ingestion]
[2025-09-19 00:46:57,805: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-19 00:46:57,805: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-19 00:46:57,805: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-19 00:46:57,920: INFO :data_ingestion:Exported train and test file path.]
[2025-09-19 00:46:57,920: INFO :main:Data Initiation Completed]
[2025-09-19 00:46:58,021: INFO :main:Initiate the data Validation]
[2025-09-19 00:46:58,166: INFO :data_validation:Required number of columns:2]
[2025-09-19 00:46:58,166: INFO :data_validation:Data frame has columns:31]
[2025-09-19 00:46:58,166: INFO :data_validation:Required number of columns:2]
[2025-09-19 00:46:58,166: INFO :data_validation:Data frame has columns:31]
[2025-09-19 00:46:58,573: INFO :main:data Validation Completed]
[2025-09-22 21:58:25,494: INFO :main:Initiate the data ingestion]
[2025-09-22 22:24:27,794: INFO :main:Initiate the data ingestion]
[2025-09-22 22:34:19,139: INFO :main:Initiate the data ingestion]
[2025-09-22 22:37:46,532: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-22 22:37:46,548: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-22 22:37:46,548: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-22 22:37:46,727: INFO :data_ingestion:Exported train and test file path.]
[2025-09-22 22:37:46,727: INFO :main:Data Initiation Completed]
[2025-09-22 22:37:46,807: INFO :main:Initiate the data Validation]
[2025-09-22 22:37:46,930: INFO :data_validation:Required number of columns:2]
[2025-09-22 22:37:46,930: INFO :data_validation:Data frame has columns:31]
[2025-09-22 22:37:46,930: INFO :data_validation:Required number of columns:2]
[2025-09-22 22:37:46,930: INFO :data_validation:Data frame has columns:31]
[2025-09-22 22:37:47,330: INFO :main:data Validation Completed]
[2025-09-22 22:37:47,330: INFO :main:data Transformation started]
[2025-09-22 22:37:47,348: INFO :data_transformation:Entered initiate_data_transformation method of DataTransformation class]
[2025-09-22 22:37:47,348: INFO :data_transformation:Starting data transformation]
[2025-09-22 22:37:47,447: INFO :data_transformation:Entered get_data_trnasformer_object method of Trnasformation class]
[2025-09-22 22:37:47,452: INFO :data_transformation:Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2025-09-22 22:37:47,532: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-22 22:37:47,607: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-22 22:37:47,607: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-22 22:37:47,607: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-22 22:37:47,617: INFO :main:data Transformation completed]
[2025-09-27 01:02:38,896: INFO :main:Initiate the data ingestion]
[2025-09-27 01:02:46,221: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-27 01:02:46,221: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-27 01:02:46,237: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-27 01:02:46,534: INFO :data_ingestion:Exported train and test file path.]
[2025-09-27 01:02:46,534: INFO :main:Data Initiation Completed]
[2025-09-27 01:02:46,598: INFO :main:Initiate the data Validation]
[2025-09-27 01:02:46,755: INFO :data_validation:Required number of columns:2]
[2025-09-27 01:02:46,770: INFO :data_validation:Data frame has columns:31]
[2025-09-27 01:02:46,770: INFO :data_validation:Required number of columns:2]
[2025-09-27 01:02:46,770: INFO :data_validation:Data frame has columns:31]
[2025-09-27 01:02:47,319: INFO :main:data Validation Completed]
[2025-09-27 01:02:47,319: INFO :main:data Transformation started]
[2025-09-27 01:02:47,319: INFO :data_transformation:Entered initiate_data_transformation method of DataTransformation class]
[2025-09-27 01:02:47,319: INFO :data_transformation:Starting data transformation]
[2025-09-27 01:02:47,377: INFO :data_transformation:Entered get_data_trnasformer_object method of Trnasformation class]
[2025-09-27 01:02:47,377: INFO :data_transformation:Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2025-09-27 01:02:47,440: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-27 01:02:47,471: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-27 01:02:47,471: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-27 01:02:47,518: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-27 01:02:47,534: INFO :main:data Transformation completed]
[2025-09-27 01:02:47,534: INFO :main:Model Training stared]
[2025-09-28 22:03:25,662: INFO :utils:NumExpr defaulting to 4 threads.]
[2025-09-28 23:15:57,841: INFO :main:Initiate the data ingestion]
[2025-09-28 23:22:47,711: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-28 23:22:47,711: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-28 23:22:47,737: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-28 23:22:47,961: INFO :data_ingestion:Exported train and test file path.]
[2025-09-28 23:22:47,961: INFO :main:Data Initiation Completed]
[2025-09-28 23:22:48,046: INFO :main:Initiate the data Validation]
[2025-09-28 23:22:48,186: INFO :data_validation:Required number of columns:2]
[2025-09-28 23:22:48,187: INFO :data_validation:Data frame has columns:31]
[2025-09-28 23:22:48,187: INFO :data_validation:Required number of columns:2]
[2025-09-28 23:22:48,187: INFO :data_validation:Data frame has columns:31]
[2025-09-28 23:22:48,551: INFO :main:data Validation Completed]
[2025-09-28 23:22:48,551: INFO :main:data Transformation started]
[2025-09-28 23:22:48,551: INFO :data_transformation:Entered initiate_data_transformation method of DataTransformation class]
[2025-09-28 23:22:48,551: INFO :data_transformation:Starting data transformation]
[2025-09-28 23:22:48,654: INFO :data_transformation:Entered get_data_trnasformer_object method of Trnasformation class]
[2025-09-28 23:22:48,655: INFO :data_transformation:Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2025-09-28 23:22:48,720: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-28 23:22:48,815: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-28 23:22:48,815: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-28 23:22:48,868: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-28 23:22:48,868: INFO :main:data Transformation completed]
[2025-09-28 23:22:48,868: INFO :main:Model Training stared]
[2025-09-28 23:43:57,096: INFO :main:Initiate the data ingestion]
[2025-09-28 23:44:03,713: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-28 23:44:03,713: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-28 23:44:03,713: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-28 23:44:03,840: INFO :data_ingestion:Exported train and test file path.]
[2025-09-28 23:44:03,840: INFO :main:Data Initiation Completed]
[2025-09-28 23:44:03,840: INFO :main:Initiate the data Validation]
[2025-09-28 23:44:03,942: INFO :data_validation:Required number of columns:2]
[2025-09-28 23:44:03,942: INFO :data_validation:Data frame has columns:31]
[2025-09-28 23:44:03,943: INFO :data_validation:Required number of columns:2]
[2025-09-28 23:44:03,943: INFO :data_validation:Data frame has columns:31]
[2025-09-28 23:44:04,184: INFO :main:data Validation Completed]
[2025-09-28 23:44:04,184: INFO :main:data Transformation started]
[2025-09-28 23:44:04,184: INFO :data_transformation:Entered initiate_data_transformation method of DataTransformation class]
[2025-09-28 23:44:04,184: INFO :data_transformation:Starting data transformation]
[2025-09-28 23:44:04,290: INFO :data_transformation:Entered get_data_trnasformer_object method of Trnasformation class]
[2025-09-28 23:44:04,376: INFO :data_transformation:Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2025-09-28 23:44:04,461: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-28 23:44:04,468: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-28 23:44:04,469: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-28 23:44:04,475: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-28 23:44:04,485: INFO :main:data Transformation completed]
[2025-09-28 23:44:04,486: INFO :main:Model Training stared]
[2025-09-29 00:03:42,935: INFO :main:Initiate the data ingestion]
[2025-09-29 00:03:52,855: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-29 00:03:52,856: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-29 00:03:52,857: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-29 00:03:53,005: INFO :data_ingestion:Exported train and test file path.]
[2025-09-29 00:03:53,006: INFO :main:Data Initiation Completed]
[2025-09-29 00:03:53,027: INFO :main:Initiate the data Validation]
[2025-09-29 00:03:53,139: INFO :data_validation:Required number of columns:2]
[2025-09-29 00:03:53,139: INFO :data_validation:Data frame has columns:31]
[2025-09-29 00:03:53,139: INFO :data_validation:Required number of columns:2]
[2025-09-29 00:03:53,139: INFO :data_validation:Data frame has columns:31]
[2025-09-29 00:03:53,482: INFO :main:data Validation Completed]
[2025-09-29 00:03:53,483: INFO :main:data Transformation started]
[2025-09-29 00:03:53,484: INFO :data_transformation:Entered initiate_data_transformation method of DataTransformation class]
[2025-09-29 00:03:53,484: INFO :data_transformation:Starting data transformation]
[2025-09-29 00:03:53,538: INFO :data_transformation:Entered get_data_trnasformer_object method of Trnasformation class]
[2025-09-29 00:03:53,538: INFO :data_transformation:Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2025-09-29 00:03:53,571: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 00:03:53,571: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 00:03:53,571: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 00:03:53,584: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 00:03:53,587: INFO :main:data Transformation completed]
[2025-09-29 00:03:53,587: INFO :main:Model Training stared]
[2025-09-29 00:52:51,956: INFO :main:Initiate the data ingestion]
[2025-09-29 00:52:59,049: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-29 00:52:59,049: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-29 00:52:59,049: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-29 00:52:59,237: INFO :data_ingestion:Exported train and test file path.]
[2025-09-29 00:52:59,237: INFO :main:Data Initiation Completed]
[2025-09-29 00:52:59,299: INFO :main:Initiate the data Validation]
[2025-09-29 00:52:59,612: INFO :data_validation:Required number of columns:2]
[2025-09-29 00:52:59,612: INFO :data_validation:Data frame has columns:31]
[2025-09-29 00:52:59,612: INFO :data_validation:Required number of columns:2]
[2025-09-29 00:52:59,612: INFO :data_validation:Data frame has columns:31]
[2025-09-29 00:53:00,587: INFO :main:data Validation Completed]
[2025-09-29 00:53:00,587: INFO :main:data Transformation started]
[2025-09-29 00:53:00,603: INFO :data_transformation:Entered initiate_data_transformation method of DataTransformation class]
[2025-09-29 00:53:00,603: INFO :data_transformation:Starting data transformation]
[2025-09-29 00:53:00,713: INFO :data_transformation:Entered get_data_trnasformer_object method of Trnasformation class]
[2025-09-29 00:53:00,713: INFO :data_transformation:Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2025-09-29 00:53:00,885: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 00:53:00,916: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 00:53:00,916: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 00:53:00,948: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 00:53:00,963: INFO :main:data Transformation completed]
[2025-09-29 00:53:00,963: INFO :main:Model Training stared]
[2025-09-29 01:13:44,559: INFO :main:Initiate the data ingestion]
[2025-09-29 01:13:54,625: INFO :data_ingestion:Performed train test split on the dataframe]
[2025-09-29 01:13:54,625: INFO :data_ingestion:Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-29 01:13:54,625: INFO :data_ingestion:Exporting train and test file path.]
[2025-09-29 01:13:54,870: INFO :data_ingestion:Exported train and test file path.]
[2025-09-29 01:13:54,870: INFO :main:Data Initiation Completed]
[2025-09-29 01:13:54,928: INFO :main:Initiate the data Validation]
[2025-09-29 01:13:55,084: INFO :data_validation:Required number of columns:2]
[2025-09-29 01:13:55,084: INFO :data_validation:Data frame has columns:31]
[2025-09-29 01:13:55,084: INFO :data_validation:Required number of columns:2]
[2025-09-29 01:13:55,084: INFO :data_validation:Data frame has columns:31]
[2025-09-29 01:13:55,524: INFO :main:data Validation Completed]
[2025-09-29 01:13:55,524: INFO :main:data Transformation started]
[2025-09-29 01:13:55,524: INFO :data_transformation:Entered initiate_data_transformation method of DataTransformation class]
[2025-09-29 01:13:55,524: INFO :data_transformation:Starting data transformation]
[2025-09-29 01:13:55,560: INFO :data_transformation:Entered get_data_trnasformer_object method of Trnasformation class]
[2025-09-29 01:13:55,577: INFO :data_transformation:Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2025-09-29 01:13:55,604: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 01:13:55,618: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 01:13:55,618: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 01:13:55,618: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 01:13:55,627: INFO :main:data Transformation completed]
[2025-09-29 01:13:55,628: INFO :main:Model Training stared]
[2025-09-29 01:23:47,536: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 01:23:47,539: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 01:23:47,541: INFO :utils:Entered the save_object method of MainUtils class]
[2025-09-29 01:23:47,631: INFO :utils:Exited the save_object method of MainUtils class]
[2025-09-29 01:23:47,632: INFO :model_trainer:Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_29_2025_01_13_34\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908740620563781, precision_score=0.9886685552407932, recall_score=0.9930894308943089), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9807692307692307, precision_score=0.9722001588562351, recall_score=0.9894907033144705))]
[2025-09-29 01:23:47,639: INFO :main:Model Training artifact created]
[2025-10-20 23:04:07,850: INFO :utils:NumExpr defaulting to 12 threads.]
[2025-10-20 23:06:40,239: INFO :utils:NumExpr defaulting to 12 threads.]
[2025-10-20 23:07:24,026: INFO :utils:NumExpr defaulting to 12 threads.]
[2025-10-20 23:08:04,744: INFO :utils:NumExpr defaulting to 12 threads.]
[2025-10-20 23:08:42,648: INFO :utils:NumExpr defaulting to 12 threads.]
[2025-10-20 23:09:03,200: INFO :utils:NumExpr defaulting to 12 threads.]
[2025-10-20 23:12:25,688: INFO :utils:NumExpr defaulting to 12 threads.]
[2025-10-20 23:27:13,545: INFO :utils:NumExpr defaulting to 12 threads.]
